captain,formation,budget,gw1_score,5gw_estimated,GK1,DEF1,DEF2,DEF3,DEF4,DEF5,MID1,MID2,MID3,MID4,MID5,FWD1,FWD2,FWD3,GK2,DEF4.1,DEF5.1,DEF6,DEF7
Mohamed Salah,5-3-2,99.0,67.4,346.9,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),Cole Palmer (Chelsea),,,Yoane Wissa (Brentford),Chris Wood (Nott'm Forest),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
Mohamed Salah,4-4-2,100.0,67.3,346.6,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Antoñito Cordero Campillo (Newcastle),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),Cole Palmer (Chelsea),,Alexander Isak (Newcastle),Raúl Jiménez Rodríguez (Fulham),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Hannes Delcroix (Burnley),Owen Dodgson (Burnley)
Mohamed Salah,5-3-2,99.5,67.1,345.5,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Matheus Santos Carneiro da Cunha (Man Utd),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),,,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
Mohamed Salah,4-4-2,100.0,67.1,345.4,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),Cole Palmer (Chelsea),Florian Wirtz (Liverpool),,Jarrod Bowen (West Ham),Joël Piroe (Leeds),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Hannes Delcroix (Burnley),Owen Dodgson (Burnley)
Mohamed Salah,4-4-2,100.0,67.0,345.1,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Antoine Semenyo (Bournemouth),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),Cole Palmer (Chelsea),,Alexander Isak (Newcastle),Ashley Barnes (Burnley),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Hannes Delcroix (Burnley),Owen Dodgson (Burnley)
Mohamed Salah,5-3-2,100.0,67.0,344.8,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Omar Marmoush (Man City),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),,,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
Mohamed Salah,4-3-3,100.0,66.9,344.7,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Bruno Borges Fernandes (Man Utd),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),,,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),Joël Piroe (Leeds),Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Hannes Delcroix (Burnley),Owen Dodgson (Burnley)
Mohamed Salah,4-4-2,100.0,66.9,344.5,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Morgan Rogers (Aston Villa),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),Cole Palmer (Chelsea),,Alexander Isak (Newcastle),Ashley Barnes (Burnley),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Hannes Delcroix (Burnley),Owen Dodgson (Burnley)
Mohamed Salah,4-4-2,100.0,66.8,344.1,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),Cole Palmer (Chelsea),Florian Wirtz (Liverpool),,Ollie Watkins (Aston Villa),Ashley Barnes (Burnley),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Hannes Delcroix (Burnley),Owen Dodgson (Burnley)
Mohamed Salah,4-4-2,100.0,66.8,344.1,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Justin Kluivert (Bournemouth),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),Cole Palmer (Chelsea),,Alexander Isak (Newcastle),Ashley Barnes (Burnley),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Hannes Delcroix (Burnley),Owen Dodgson (Burnley)
