new_player,new_team,new_price,old_player,old_team,old_price,old_total_points,position,threshold_used
Anthony Patterson,Sunderland,4.5,Aaron Ramsdale,Southampton,4.5,97,GK,0.3
Robin Roefs,Sunderland,4.5,Alex McCarthy,Southampton,4.5,12,GK,0.3
Simon Moore,Sunderland,4.0,Joe Lumley,Southampton,4.0,8,GK,0.3
Blondy Nna Noukeu,Sunderland,4.0,Mateusz Lis,Southampton,4.0,0,GK,0.3
Daniel Ballard,Sunderland,4.5,Kyle Walker-Peters,Southampton,4.5,54,DEF,0.3
Trai Hume,Sunderland,4.5,Sugawara Yukinari,Southampton,4.5,43,DEF,0.3
Aji Alese,Sunderland,4.0,Jan Bednarek,Southampton,4.0,60,DEF,0.3
Joe Anderson,Sunderland,4.0,Taylor Harwood-Bellis,Southampton,4.0,55,DEF,0.3
Dennis Cirkin,Sunderland,4.0,Jack Stephens,Southampton,4.0,31,DEF,0.3
Leo Fuhr Hjelde,Sunderland,4.0,James Bree,Southampton,4.0,23,DEF,0.3
Niall Huggins,Sunderland,4.0,Nathan Wood-Gordon,Southampton,4.0,14,DEF,0.3
Zak Johnson,Sunderland,4.0,Welington Damascena Santos,Southampton,4.0,14,DEF,0.3
Luke O'Nien,Sunderland,4.0,Charlie Taylor,Southampton,4.0,6,DEF,0.3
Timothée Pembélé,Sunderland,4.0,Armel Bella-Kotchap,Southampton,4.0,2,DEF,0.3
Reinildo Mandava,Sunderland,4.0,Joachim Kayi-Sanda,Southampton,4.0,2,DEF,0.3
Jenson Seelt,Sunderland,4.0,Ronnie Edwards,Southampton,4.0,1,DEF,0.3
Simon Adingra,Sunderland,5.5,Ben Brereton Díaz,Southampton,5.5,13,MID,0.3
Ian Poveda-Ocampo,Sunderland,5.0,Mateus Gonçalo Espanha Fernandes,Southampton,5.0,95,MID,0.3
Chemsdine Talbi,Sunderland,5.0,Joe Aribo,Southampton,5.0,72,MID,0.3
Chris Rigg,Sunderland,5.0,Kamaldeen Sulemana,Southampton,5.0,53,MID,0.3
Noah Sadiki,Sunderland,5.0,Flynn Downes,Southampton,5.0,48,MID,0.3
Dan Neil,Sunderland,5.0,Will Smallbone,Southampton,5.0,26,MID,0.3
Romaine Mundle,Sunderland,5.0,Adam Lallana,Southampton,5.0,17,MID,0.3
Enzo Le Fée,Sunderland,5.0,Ryan Fraser,Southampton,5.0,7,MID,0.3
Milan Aleksić,Sunderland,5.0,Albert Grønbæk,Southampton,5.0,6,MID,0.3
Granit Xhaka,Sunderland,5.0,Samuel Edozie,Southampton,5.0,1,MID,0.3
Abdoullah Ba,Sunderland,4.5,Tyler Dibling,Southampton,4.5,68,MID,0.3
Alan Browne,Sunderland,4.5,Lesley Ugochukwu,Southampton,4.5,47,MID,0.3
Pierre Ekwah Elimby,Sunderland,4.5,Samuel Amo-Ameyaw,Southampton,4.5,1,MID,0.3
Harrison Jones,Sunderland,4.5,Shea Charles,Southampton,4.5,0,MID,0.3
Jay Matete,Sunderland,4.5,Joseph O'Brien-Whitmarsh,Southampton,4.5,0,MID,0.3
Wilson Isidor,Sunderland,5.5,Adam Armstrong,Southampton,5.5,45,FWD,0.3
Ahmed Abdullahi,Sunderland,4.5,Ross Stewart,Southampton,4.5,20,FWD,0.3
Luís Hemir Silva Semedo,Sunderland,4.5,Jay Robinson,Southampton,4.5,5,FWD,0.3
Patrick Roberts,Sunderland,5.5,Maxwel Cornet,Southampton,5.0,1,MID,0.5
Eliezer Mayenda Dossou,Sunderland,5.5,Cameron Archer,Southampton,5.0,57,FWD,0.5
Nazarii Rusyn,Sunderland,4.5,Paul Onuachu,Southampton,5.0,51,FWD,0.5
Habib Diarra,Sunderland,5.5,Ben Brereton Díaz,Southampton,5.5,13,MID,0.8999999999999999
Nectarios Triantis,Sunderland,4.5,Mateus Gonçalo Espanha Fernandes,Southampton,5.0,95,MID,0.8999999999999999
