player_id,wins,losses,total_comparisons,win_rate,name
17,3246,213,3459,0.9384215091066782,Bukayo Saka
328,3204,223,3427,0.9349285088999124,Mohamed Salah
182,3178,244,3422,0.9286966686148451,Cole Palmer
351,3165,247,3412,0.9276084407971864,Erling Haaland
339,3023,360,3383,0.893585574933491,Virgil van Dijk
413,3065,386,3451,0.8881483627933933,Nick Pope
148,2974,376,3350,0.8877611940298508,Danny Welbeck
58,2955,391,3346,0.8831440526001195,Ollie Watkins
491,2989,396,3385,0.8830132939438701,Brennan Johnson
514,2977,407,3384,0.8797281323877069,Jarrod Bowen
15,2929,410,3339,0.8772087451332734,David Raya Martin
392,2963,416,3379,0.8768866528558745,Harvey Barnes
99,2969,420,3389,0.87606963706108,Bryan Mbeumo
3,2910,419,3329,0.8741363772904777,Gabriel dos Santos Magalhães
136,2942,445,3387,0.8686152937702982,Mitoma Kaoru
4,2952,447,3399,0.8684907325684025,Kai Havertz
9,2918,463,3381,0.8630582667849749,Gabriel Martinelli Silva
326,2904,471,3375,0.8604444444444445,Ibrahima Konaté
230,2884,469,3353,0.860125260960334,Dwight McNeil
494,2901,473,3374,0.8598103141671607,James Maddison
327,2904,481,3385,0.8579025110782865,Luis Díaz
239,2908,487,3395,0.8565537555228276,Adama Traoré
311,2853,480,3333,0.855985598559856,Trent Alexander-Arnold
447,2865,484,3349,0.8554792475365781,Chris Wood
180,2855,494,3349,0.85249328157659,Nicolas Jackson
19,2850,526,3376,0.8441943127962085,Emile Smith Rowe
54,2783,514,3297,0.8441006976038823,Morgan Rogers
185,2777,529,3306,0.8399879007864489,Robert Sánchez
247,2805,545,3350,0.8373134328358209,Alex Iwobi
383,2801,546,3347,0.8368688377651629,André Onana
78,2797,549,3346,0.8359234907352062,Antoine Semenyo
443,2761,550,3311,0.8338870431893688,Matz Sels
248,2799,561,3360,0.8330357142857143,Bernd Leno
177,2777,557,3334,0.8329334133173365,Noni Madueke
91,2803,563,3366,0.832739156268568,Mark Flekken
