element,total_points,avg_points,std_points,total_minutes,games_played,start_price,end_price,position,team,name
72,0,0.0,0.0,0,38,4.5,4.4,DEF,Bournemouth,Chris Mepham
73,7,0.18,0.8,180,38,4.5,4.1,GK,Bournemouth,Norberto Murara Neto
74,111,2.92,3.91,1998,38,5.0,4.5,MID,Bournemouth,Dango Ouattara
75,0,0.0,0.0,0,38,4.0,4.0,GK,Bournemouth,Alex Paulsen
76,10,0.26,0.45,176,38,5.0,4.8,MID,Bournemouth,Philip Billing
77,26,0.68,0.93,745,38,5.0,4.7,MID,Bournemouth,Alex Scott
78,165,4.34,3.65,3202,38,5.5,5.7,MID,Bournemouth,Antoine Semenyo
79,31,0.82,1.75,1103,38,5.0,4.6,DEF,Bournemouth,Marcos Senesi
80,23,0.61,1.81,229,38,5.0,4.8,MID,Bournemouth,Luis Sinisterra
81,57,1.5,2.02,1586,38,4.5,4.4,DEF,Bournemouth,Adam Smith
82,108,2.84,3.42,2199,38,7.5,7.3,FWD,Spurs,Dominic Solanke-Mitchell
83,87,2.29,2.29,1932,38,5.5,5.4,MID,Bournemouth,Marcus Tavernier
84,19,0.5,1.41,450,38,4.5,4.4,GK,Bournemouth,Mark Travers
85,94,2.47,2.69,3109,38,4.5,4.4,DEF,Bournemouth,Illia Zabarnyi
86,39,1.03,1.65,1433,38,4.5,4.4,DEF,Brentford,Kristoffer Ajer
87,0,0.0,0.0,0,38,4.5,4.4,MID,Brentford,Ethan Brierley
88,127,3.34,3.15,3420,38,4.5,4.6,DEF,Brentford,Nathan Collins
89,131,3.45,2.47,2911,38,5.0,4.9,MID,Brentford,Mikkel Damsgaard
90,0,0.0,0.0,0,38,5.0,4.8,MID,Brentford,Josh Dasilva
91,138,3.63,2.95,3275,38,4.5,4.5,GK,Brentford,Mark Flekken
92,4,0.11,0.31,94,38,4.5,4.3,DEF,Brentford,Rico Henry
93,0,0.0,0.0,0,38,4.5,4.3,DEF,Brentford,Aaron Hickey
94,73,1.92,1.79,2251,38,5.0,4.8,MID,Brentford,Vitaly Janelt
95,38,1.0,1.21,846,38,5.5,5.3,MID,Brentford,Mathias Jensen
96,3,0.08,0.27,28,38,4.0,3.9,DEF,Brentford,Kim Ji-soo
97,10,0.26,0.45,53,38,4.5,4.4,MID,Brentford,Yunus Emre Konak
98,94,2.47,1.57,3092,38,5.0,5.0,MID,Brentford,Keane Lewis-Potter
99,236,6.21,4.83,3415,38,7.0,8.3,MID,Brentford,Bryan Mbeumo
100,9,0.24,0.85,180,38,4.5,4.2,DEF,Brentford,Ben Mee
101,107,2.82,2.6,2820,38,5.0,4.8,MID,Brentford,Christian Nørgaard
102,2,0.05,0.23,23,38,5.0,4.9,MID,Brentford,Frank Onyeka
103,0,0.0,0.0,0,38,4.5,4.5,MID,Brentford,Myles Peart-Harris
104,47,1.24,1.97,1912,38,4.5,4.4,DEF,Brentford,Ethan Pinnock
105,36,0.95,1.58,1100,38,4.5,4.3,DEF,Brentford,Mads Roerslev Rasmussen
106,149,3.92,4.62,2281,38,5.5,5.3,MID,Brentford,Kevin Schade
107,9,0.24,0.49,167,38,6.0,5.9,FWD,Brentford,Igor Thiago Nascimento Rodrigues
108,0,0.0,0.0,0,38,7.5,7.3,FWD,Brentford,Ivan Toney
109,2,0.05,0.23,144,38,4.0,3.9,GK,Brentford,Hákon Valdimarsson
110,185,4.87,3.9,2921,38,6.0,6.9,FWD,Brentford,Yoane Wissa
111,43,1.13,0.84,1435,38,4.5,4.3,MID,Brentford,Yehor Yarmoliuk
112,0,0.0,0.0,0,38,4.5,4.5,DEF,Brentford,Mathias Jorgensen
113,60,1.58,1.6,1081,38,5.5,5.1,MID,Brighton,Simon Adingra
114,0,0.0,0.0,0,38,4.5,4.5,MID,Brighton,Benicio Baker-Boaitey
115,87,2.29,2.66,2660,38,5.0,5.0,MID,Brighton,Carlos Baleba
116,0,0.0,0.0,0,38,4.0,4.0,DEF,Brighton,Valentín Barco
117,75,1.97,2.56,1508,38,5.0,4.5,MID,Leicester,Facundo Buonanotte
118,0,0.0,0.0,0,38,4.5,4.5,MID,Brighton,Amario Cozier-Duberry
119,0,0.0,0.0,0,38,5.0,4.9,MID,Brighton,Mahmoud Dahoud
120,44,1.16,2.07,2081,38,4.5,4.2,DEF,Brighton,Lewis Dunk
121,59,1.55,2.54,1155,38,5.5,5.4,MID,Brighton,Julio Enciso
122,63,1.66,2.29,2399,38,5.0,4.9,DEF,Brighton,Pervis Estupiñán
123,27,0.71,1.18,368,38,5.5,5.5,FWD,Brighton,Evan Ferguson
124,3,0.08,0.36,97,38,5.0,5.0,MID,Brighton,Billy Gilmour
125,0,0.0,0.0,0,38,6.5,6.5,MID,Brighton,Pascal Groß
126,89,2.34,3.25,1839,38,5.0,4.9,MID,Brighton,Jack Hinshelwood
127,0,0.0,0.0,0,38,5.0,5.0,MID,Brighton,Ibrahim Osman
128,18,0.47,1.11,959,38,4.5,4.3,DEF,Brighton,Igor Julio dos Santos de Paulo
129,126,3.32,4.22,1946,38,5.5,5.5,FWD,Brighton,João Pedro Junqueira de Jesus
130,0,0.0,0.0,0,38,4.5,4.5,MID,Brighton,Kacper Kozłowski
131,42,1.11,2.24,856,38,4.5,4.4,DEF,Brighton,Tariq Lamptey
132,7,0.18,0.46,161,38,6.5,6.5,MID,Brighton,Solly March
133,0,0.0,0.0,0,38,4.5,4.5,MID,Brighton,Adrian Mazilu
134,6,0.16,0.49,170,38,5.0,5.0,MID,Brighton,James Milner
135,102,2.68,3.35,1831,38,5.5,4.8,MID,Brighton,Yankuba Minteh
136,145,3.82,3.25,2597,38,6.5,6.3,MID,Brighton,Mitoma Kaoru
137,4,0.11,0.31,9,38,4.5,4.4,MID,Brighton,Jakub Moder
138,0,0.0,0.0,0,38,4.5,4.5,FWD,Brighton,Mark O’Mahony
139,0,0.0,0.0,0,38,4.0,4.0,DEF,Brighton,Odeluga Offiah
140,0,0.0,0.0,0,38,4.5,4.4,MID,Brighton,Cameron Peupion
141,1,0.03,0.16,8,38,5.0,4.9,MID,Brighton,Jeremy Sarmiento Morante
142,9,0.24,1.17,180,38,4.5,4.0,GK,Brighton,Jason Steele
143,0,0.0,0.0,0,38,5.5,5.5,FWD,Brighton,Deniz Undav
144,87,2.29,2.78,2960,38,4.5,4.5,DEF,Brighton,Jan Paul van Hecke
145,59,1.55,2.48,1694,38,4.5,4.3,DEF,Brighton,Joël Veltman
146,103,2.71,2.81,3240,38,4.5,4.5,GK,Brighton,Bart Verbruggen
147,39,1.03,2.15,885,38,4.5,4.3,DEF,Brighton,Adam Webster
148,125,3.29,3.45,2109,38,5.5,5.5,FWD,Brighton,Danny Welbeck
149,52,1.37,2.03,1003,38,5.0,4.7,MID,Brighton,Mats Wieffer
150,0,0.0,0.0,0,38,4.5,4.5,MID,Chelsea,Andrey Nascimento dos Santos
151,0,0.0,0.0,0,38,4.5,4.5,MID,Chelsea,Ângelo Gabriel Borges Damaceno
152,106,2.79,2.78,2790,38,4.5,4.6,GK,Chelsea,Kepa Arrizabalaga
153,7,0.18,0.51,332,38,4.5,4.2,DEF,Chelsea,Benoît Badiashile
154,0,0.0,0.0,0,38,4.0,3.9,GK,Chelsea,Lucas Bergström
155,0,0.0,0.0,0,38,4.0,3.9,GK,Chelsea,Marcus Bettinelli
156,12,0.32,0.62,327,38,5.5,5.3,FWD,Chelsea,Armando Broja
