element,total_points,avg_points,std_points,total_minutes,games_played,start_price,end_price,position,team,name,next_week_points
1,0,0.0,0.0,0,9,5.5,5.4,MID,Arsenal,Fábio Ferreira Vieira,0
2,4,0.44,0.53,93,9,7.0,6.8,FWD,Arsenal,Gabriel Fernando de Jesus,1
3,41,4.56,4.61,773,9,6.0,6.3,DEF,Arsenal,Gabriel dos Santos Magalhães,2
4,44,4.89,3.76,810,9,8.0,8.2,FWD,Arsenal,Kai Havertz,1
5,0,0.0,0.0,0,9,4.0,4.0,GK,Arsenal,Karl Hein,0
6,21,2.33,2.18,523,9,5.5,5.5,DEF,Arsenal,Jurriën Timber,1
7,4,0.44,0.88,150,9,5.0,4.8,MID,Arsenal,Jorge Luiz Frello Filho,0
8,3,0.33,0.5,96,9,5.0,4.8,DEF,Arsenal,Jakub Kiwior,0
9,37,4.11,3.72,548,9,7.0,7.0,MID,Arsenal,Gabriel Martinelli Silva,2
10,15,1.67,2.35,120,9,5.0,5.0,MID,Arsenal,Reiss Nelson,2
11,10,1.11,0.93,405,9,6.0,5.9,FWD,Arsenal,Eddie Nketiah,2
12,4,0.44,0.53,23,9,4.5,4.5,MID,Arsenal,Ethan Nwaneri,1
13,7,0.78,1.2,253,9,8.5,8.2,MID,Arsenal,Martin Ødegaard,0
14,17,1.89,1.36,630,9,4.5,4.4,GK,Arsenal,Aaron Ramsdale,9
15,37,4.11,3.86,810,9,5.5,5.7,GK,Arsenal,David Raya Martin,3
16,15,1.67,1.94,672,9,6.5,6.3,MID,Arsenal,Declan Rice,2
17,63,7.0,4.82,650,9,10.0,10.0,MID,Arsenal,Bukayo Saka,2
18,19,2.11,3.06,659,9,6.0,6.0,DEF,Arsenal,William Saliba,2
19,41,4.56,3.28,626,9,5.5,5.7,MID,Fulham,Emile Smith Rowe,2
20,27,3.0,3.08,797,9,5.0,5.0,MID,Arsenal,Thomas Partey,2
21,0,0.0,0.0,0,9,4.5,4.3,DEF,Arsenal,Kieran Tierney,0
22,1,0.11,0.33,6,9,5.0,4.8,DEF,Arsenal,Tomiyasu Takehiro,0
23,28,3.11,4.11,497,9,7.0,6.9,MID,Arsenal,Leandro Trossard,2
24,25,2.78,2.73,585,9,6.5,6.3,DEF,Arsenal,Benjamin White,1
25,7,0.78,1.99,78,9,5.0,4.8,DEF,Arsenal,Oleksandr Zinchenko,1
26,17,1.89,2.47,436,9,4.5,4.4,DEF,Aston Villa,Álex Moreno Lopera,9
27,23,2.56,3.17,431,9,5.0,5.0,FWD,Southampton,Cameron Archer,2
28,18,2.0,1.66,427,9,6.5,6.3,MID,Aston Villa,Leon Bailey,1
