element,total_points,avg_points,std_points,total_minutes,games_played,start_price,end_price,position,team,name,next_week_points
1,0,0.0,0.0,0,34,5.5,5.4,MID,Arsenal,Fábio Ferreira Vieira,0
2,42,1.24,3.33,600,34,7.0,6.5,FWD,Arsenal,Gabriel Fernando de Jesus,0
3,117,3.44,3.46,2363,34,6.0,6.2,DEF,Arsenal,Gabriel dos Santos Magalhães,0
4,96,2.82,3.53,1839,34,8.0,7.7,FWD,Arsenal,Kai Havertz,0
5,0,0.0,0.0,0,34,4.0,4.0,GK,Arsenal,Karl Hein,0
6,114,3.35,3.24,2415,34,5.5,5.7,DEF,Arsenal,Jurriën Timber,0
7,19,0.56,0.89,700,34,5.0,4.6,MID,Arsenal,Jorge Luiz Frello Filho,0
8,32,0.94,1.84,757,34,5.0,4.8,DEF,Arsenal,Jakub Kiwior,1
9,111,3.26,3.11,1949,34,7.0,6.5,MID,Arsenal,Gabriel Martinelli Silva,2
10,27,0.79,1.53,483,34,5.0,5.0,MID,Arsenal,Reiss Nelson,0
11,38,1.12,1.45,866,34,6.0,5.9,FWD,Arsenal,Eddie Nketiah,0
12,63,1.85,2.36,804,34,4.5,4.5,MID,Arsenal,Ethan Nwaneri,1
13,90,2.65,2.42,2036,34,8.5,8.2,MID,Arsenal,Martin Ødegaard,8
14,82,2.41,3.28,2340,34,4.5,4.4,GK,Arsenal,Aaron Ramsdale,1
15,130,3.82,2.69,3060,34,5.5,5.6,GK,Arsenal,David Raya Martin,1
16,105,3.09,2.9,2570,34,6.5,6.2,MID,Arsenal,Declan Rice,9
17,119,3.5,4.93,1450,34,10.0,10.5,MID,Arsenal,Bukayo Saka,2
18,127,3.74,3.6,2814,34,6.0,6.6,DEF,Arsenal,William Saliba,1
19,106,3.12,3.38,1847,34,5.5,5.1,MID,Fulham,Emile Smith Rowe,1
20,99,2.91,2.72,2433,34,5.0,4.9,MID,Arsenal,Thomas Partey,2
21,15,0.44,1.08,174,34,4.5,4.3,DEF,Arsenal,Kieran Tierney,0
22,1,0.03,0.17,6,34,5.0,4.8,DEF,Arsenal,Tomiyasu Takehiro,0
23,136,4.0,4.08,2265,34,7.0,6.7,MID,Arsenal,Leandro Trossard,2
24,37,1.09,2.01,853,34,6.5,6.1,DEF,Arsenal,Benjamin White,1
25,36,1.06,2.39,443,34,5.0,4.8,DEF,Arsenal,Oleksandr Zinchenko,1
26,34,1.0,2.04,952,34,4.5,4.2,DEF,Aston Villa,Álex Moreno Lopera,0
27,53,1.56,1.76,1344,34,5.0,4.9,FWD,Southampton,Cameron Archer,1
28,46,1.35,1.82,1131,34,6.5,6.2,MID,Aston Villa,Leon Bailey,0
29,41,1.21,2.38,552,34,5.5,5.2,MID,Aston Villa,Ross Barkley,1
30,0,0.0,0.0,0,34,5.0,4.9,MID,Aston Villa,Enzo Barrenechea,0
31,11,0.32,0.47,89,34,5.5,5.1,MID,Aston Villa,Emiliano Buendía Stati,0
32,57,1.68,2.16,1709,34,4.5,4.4,DEF,Aston Villa,Matty Cash,7
33,0,0.0,0.0,0,34,4.5,4.5,MID,Aston Villa,Leander Dendoncker,0
34,0,0.0,0.0,0,34,6.5,6.5,MID,Aston Villa,Moussa Diaby,0
35,21,0.62,1.6,828,34,4.5,4.5,DEF,Aston Villa,Diego Carlos Santos Silva,0
36,81,2.38,2.35,2239,34,4.5,4.5,DEF,Aston Villa,Lucas Digne,1
37,0,0.0,0.0,0,34,5.0,5.0,MID,Aston Villa,Lewis Dobbin,0
38,53,1.56,2.56,622,34,6.0,5.7,FWD,Aston Villa,Jhon Durán,0
39,0,0.0,0.0,0,34,4.0,4.0,GK,Aston Villa,Joe Gauci,0
40,0,0.0,0.0,0,34,4.0,3.9,DEF,Aston Villa,Kortney Hause,0
41,0,0.0,0.0,0,34,5.5,5.4,MID,Aston Villa,Samuel Iling-Junior,0
42,39,1.15,1.08,1367,34,5.0,5.0,MID,Aston Villa,Boubacar Kamara,3
43,0,0.0,0.0,0,34,4.0,4.0,DEF,Aston Villa,Kaine Kesler-Hayden,0
44,76,2.24,2.59,2576,34,4.5,4.4,DEF,Aston Villa,Ezri Konsa Ngoyo,6
45,43,1.26,1.81,874,34,5.0,4.5,DEF,Aston Villa,Ian Maatsen,6
46,0,0.0,0.0,0,34,4.0,4.0,GK,Aston Villa,Filip Marschall,0
47,90,2.65,2.17,2880,34,5.0,5.0,GK,Aston Villa,Emiliano Martínez Romero,9
48,65,1.91,1.42,1987,34,5.5,5.2,MID,Aston Villa,John McGinn,6
49,41,1.21,2.28,1050,34,4.5,4.4,DEF,Aston Villa,Tyrone Mings,0
50,5,0.15,0.36,121,34,4.0,3.9,DEF,Aston Villa,Kosta Nedeljković,0
51,8,0.24,1.21,180,34,4.5,4.5,GK,Aston Villa,Robin Olsen,0
52,41,1.21,1.89,1729,34,4.5,4.2,DEF,Aston Villa,Pau Torres,6
53,64,1.88,2.13,1480,34,5.5,5.4,MID,Aston Villa,Jacob Ramsey,1
54,145,4.26,3.65,2764,34,5.0,5.7,MID,Aston Villa,Morgan Rogers,3
55,0,0.0,0.0,0,34,4.0,4.0,GK,Aston Villa,Viljami Sinisalo,0
56,0,0.0,0.0,0,34,4.0,4.0,DEF,Aston Villa,Lino da Cruz Sousa,0
57,109,3.21,2.4,2915,34,5.5,5.5,MID,Aston Villa,Youri Tielemans,11
58,168,4.94,4.01,2258,34,9.0,8.9,FWD,Aston Villa,Ollie Watkins,2
59,8,0.24,1.05,84,34,4.5,4.3,DEF,Bournemouth,Max Aarons,0
60,49,1.44,1.76,1614,34,5.0,4.9,MID,Bournemouth,Tyler Adams,2
61,0,0.0,0.0,0,34,4.5,4.5,MID,Bournemouth,Jaidon Anthony,0
62,46,1.35,1.52,798,34,5.0,4.9,MID,Bournemouth,David Brooks,1
63,76,2.24,2.45,2114,34,5.0,4.9,MID,Bournemouth,Ryan Christie,0
64,79,2.32,1.97,2724,34,5.0,5.0,MID,Bournemouth,Lewis Cook,2
65,32,0.94,1.76,330,34,5.5,5.4,FWD,Bournemouth,Enes Ünal,0
66,0,0.0,0.0,0,34,5.0,5.0,MID,Bournemouth,Romain Faivre,0
67,0,0.0,0.0,0,34,4.5,4.5,MID,Bournemouth,Hamed Traorè,0
68,17,0.5,1.24,443,34,4.0,3.9,DEF,Bournemouth,James Hill,0
69,11,0.32,0.47,66,34,4.5,4.5,FWD,Bournemouth,Daniel Jebbison,1
70,123,3.62,3.07,2987,34,4.5,5.3,DEF,Bournemouth,Milos Kerkez,2
71,151,4.44,5.34,2095,34,5.5,6.0,MID,Bournemouth,Justin Kluivert,2
72,0,0.0,0.0,0,34,4.5,4.4,DEF,Bournemouth,Chris Mepham,0
73,7,0.21,0.84,180,34,4.5,4.1,GK,Bournemouth,Norberto Murara Neto,0
74,110,3.24,4.02,1925,34,5.0,4.7,MID,Bournemouth,Dango Ouattara,1
75,0,0.0,0.0,0,34,4.0,4.0,GK,Bournemouth,Alex Paulsen,0
76,10,0.29,0.46,176,34,5.0,4.8,MID,Bournemouth,Philip Billing,0
77,24,0.71,0.97,674,34,5.0,4.7,MID,Bournemouth,Alex Scott,1
78,141,4.15,3.23,2907,34,5.5,5.7,MID,Bournemouth,Antoine Semenyo,4
79,24,0.71,1.61,1012,34,5.0,4.6,DEF,Bournemouth,Marcos Senesi,0
80,23,0.68,1.9,229,34,5.0,4.8,MID,Bournemouth,Luis Sinisterra,0
81,49,1.44,1.97,1406,34,4.5,4.4,DEF,Bournemouth,Adam Smith,0
82,100,2.94,3.46,2118,34,7.5,7.3,FWD,Spurs,Dominic Solanke-Mitchell,0
83,75,2.21,2.35,1572,34,5.5,5.4,MID,Bournemouth,Marcus Tavernier,5
84,19,0.56,1.48,450,34,4.5,4.4,GK,Bournemouth,Mark Travers,0
85,79,2.32,2.4,2752,34,4.5,4.4,DEF,Bournemouth,Illia Zabarnyi,2
86,38,1.12,1.72,1393,34,4.5,4.4,DEF,Brentford,Kristoffer Ajer,0
87,0,0.0,0.0,0,34,4.5,4.4,MID,Brentford,Ethan Brierley,0
88,115,3.38,3.17,3060,34,4.5,4.5,DEF,Brentford,Nathan Collins,1
89,119,3.5,2.57,2578,34,5.0,4.9,MID,Brentford,Mikkel Damsgaard,5
90,0,0.0,0.0,0,34,5.0,4.8,MID,Brentford,Josh Dasilva,0
91,123,3.62,2.93,2915,34,4.5,4.4,GK,Brentford,Mark Flekken,1
92,3,0.09,0.29,62,34,4.5,4.3,DEF,Brentford,Rico Henry,0
93,0,0.0,0.0,0,34,4.5,4.3,DEF,Brentford,Aaron Hickey,0
94,73,2.15,1.76,2251,34,5.0,4.8,MID,Brentford,Vitaly Janelt,0
95,34,1.0,1.28,781,34,5.5,5.3,MID,Brentford,Mathias Jensen,1
96,3,0.09,0.29,28,34,4.0,3.9,DEF,Brentford,Kim Ji-soo,0
97,9,0.26,0.45,52,34,4.5,4.4,MID,Brentford,Yunus Emre Konak,0
98,86,2.53,1.64,2757,34,5.0,5.0,MID,Brentford,Keane Lewis-Potter,2
99,212,6.24,5.1,3055,34,7.0,8.0,MID,Brentford,Bryan Mbeumo,5
100,9,0.26,0.9,180,34,4.5,4.2,DEF,Brentford,Ben Mee,0
101,88,2.59,2.55,2460,34,5.0,4.8,MID,Brentford,Christian Nørgaard,5
102,2,0.06,0.24,23,34,5.0,4.9,MID,Brentford,Frank Onyeka,0
103,0,0.0,0.0,0,34,4.5,4.5,MID,Brentford,Myles Peart-Harris,0
104,47,1.38,2.03,1912,34,4.5,4.4,DEF,Brentford,Ethan Pinnock,0
105,36,1.06,1.63,1100,34,4.5,4.3,DEF,Brentford,Mads Roerslev Rasmussen,0
106,120,3.53,4.35,1985,34,5.5,5.1,MID,Brentford,Kevin Schade,14
107,5,0.15,0.44,129,34,6.0,5.9,FWD,Brentford,Igor Thiago Nascimento Rodrigues,1
108,0,0.0,0.0,0,34,7.5,7.3,FWD,Brentford,Ivan Toney,0
109,2,0.06,0.24,144,34,4.0,3.9,GK,Brentford,Hákon Valdimarsson,0
110,166,4.88,3.9,2561,34,6.0,6.6,FWD,Brentford,Yoane Wissa,7
111,35,1.03,0.83,1114,34,4.5,4.3,MID,Brentford,Yehor Yarmoliuk,2
112,0,0.0,0.0,0,34,4.5,4.5,DEF,Brentford,Mathias Jorgensen,0
113,50,1.47,1.62,873,34,5.5,5.1,MID,Brighton,Simon Adingra,3
114,0,0.0,0.0,0,34,4.5,4.5,MID,Brighton,Benicio Baker-Boaitey,0
115,78,2.29,2.81,2312,34,5.0,5.0,MID,Brighton,Carlos Baleba,2
116,0,0.0,0.0,0,34,4.0,4.0,DEF,Brighton,Valentín Barco,0
117,67,1.97,2.52,1461,34,5.0,4.5,MID,Leicester,Facundo Buonanotte,0
118,0,0.0,0.0,0,34,4.5,4.5,MID,Brighton,Amario Cozier-Duberry,0
119,0,0.0,0.0,0,34,5.0,4.9,MID,Brighton,Mahmoud Dahoud,0
120,42,1.24,2.16,1991,34,4.5,4.2,DEF,Brighton,Lewis Dunk,2
121,46,1.35,2.33,905,34,5.5,5.4,MID,Brighton,Julio Enciso,9
122,53,1.56,2.22,2129,34,5.0,4.9,DEF,Brighton,Pervis Estupiñán,2
123,26,0.76,1.23,358,34,5.5,5.5,FWD,Brighton,Evan Ferguson,1
124,3,0.09,0.38,97,34,5.0,5.0,MID,Brighton,Billy Gilmour,0
125,0,0.0,0.0,0,34,6.5,6.5,MID,Brighton,Pascal Groß,0
126,64,1.88,2.51,1674,34,5.0,4.9,MID,Brighton,Jack Hinshelwood,3
127,0,0.0,0.0,0,34,5.0,5.0,MID,Brighton,Ibrahim Osman,0
128,17,0.5,1.16,900,34,4.5,4.3,DEF,Brighton,Igor Julio dos Santos de Paulo,0
129,126,3.71,4.3,1946,34,5.5,5.6,FWD,Brighton,João Pedro Junqueira de Jesus,0
130,0,0.0,0.0,0,34,4.5,4.5,MID,Brighton,Kacper Kozłowski,0
131,40,1.18,2.35,762,34,4.5,4.4,DEF,Brighton,Tariq Lamptey,1
132,7,0.21,0.48,161,34,6.5,6.5,MID,Brighton,Solly March,0
133,0,0.0,0.0,0,34,4.5,4.5,MID,Brighton,Adrian Mazilu,0
134,5,0.15,0.5,169,34,5.0,5.0,MID,Brighton,James Milner,0
135,86,2.53,3.37,1489,34,5.5,4.9,MID,Brighton,Yankuba Minteh,9
136,134,3.94,3.31,2517,34,6.5,6.4,MID,Brighton,Mitoma Kaoru,0
137,4,0.12,0.33,9,34,4.5,4.4,MID,Brighton,Jakub Moder,0
138,0,0.0,0.0,0,34,4.5,4.5,FWD,Brighton,Mark O’Mahony,0
139,0,0.0,0.0,0,34,4.0,4.0,DEF,Brighton,Odeluga Offiah,0
140,0,0.0,0.0,0,34,4.5,4.4,MID,Brighton,Cameron Peupion,0
141,1,0.03,0.17,8,34,5.0,4.9,MID,Brighton,Jeremy Sarmiento Morante,0
142,9,0.26,1.24,180,34,4.5,4.0,GK,Brighton,Jason Steele,0
143,0,0.0,0.0,0,34,5.5,5.5,FWD,Brighton,Deniz Undav,0
144,75,2.21,2.82,2600,34,4.5,4.5,DEF,Brighton,Jan Paul van Hecke,2
145,58,1.71,2.58,1642,34,4.5,4.3,DEF,Brighton,Joël Veltman,1
146,88,2.59,2.82,2880,34,4.5,4.6,GK,Brighton,Bart Verbruggen,3
147,26,0.76,1.76,615,34,4.5,4.3,DEF,Brighton,Adam Webster,0
148,110,3.24,3.43,1846,34,5.5,5.5,FWD,Brighton,Danny Welbeck,1
149,40,1.18,2.02,680,34,5.0,4.7,MID,Brighton,Mats Wieffer,3
150,0,0.0,0.0,0,34,4.5,4.5,MID,Chelsea,Andrey Nascimento dos Santos,0
151,0,0.0,0.0,0,34,4.5,4.5,MID,Chelsea,Ângelo Gabriel Borges Damaceno,0
152,94,2.76,2.87,2430,34,4.5,4.6,GK,Chelsea,Kepa Arrizabalaga,3
153,7,0.21,0.54,332,34,4.5,4.2,DEF,Chelsea,Benoît Badiashile,0
154,0,0.0,0.0,0,34,4.0,3.9,GK,Chelsea,Lucas Bergström,0
155,0,0.0,0.0,0,34,4.0,3.9,GK,Chelsea,Marcus Bettinelli,0
156,12,0.35,0.65,327,34,5.5,5.3,FWD,Chelsea,Armando Broja,0
157,85,2.5,1.67,2991,34,5.0,4.9,MID,Chelsea,Moisés Caicedo Corozo,6
158,0,0.0,0.0,0,34,4.5,4.4,MID,Chelsea,Cesare Casadei,0
159,90,2.65,3.29,1805,34,4.5,4.4,DEF,Chelsea,Trevoh Chalobah,1
160,5,0.15,0.36,135,34,5.0,4.6,DEF,Chelsea,Ben Chilwell,0
