team,total_points,avg_points_per_player,std_points,total_minutes,total_goals,total_assists,total_clean_sheets,total_goals_conceded,total_yellow_cards,total_red_cards,name,players_used,gameweeks_played,next_week_points,upcoming_difficulty
Arsenal,363,1.75,3.08,6832,14,12,33,66,17,2,Arsenal,36,7,15,3.0
Aston Villa,300,1.19,2.21,6904,12,11,15,99,14,0,Aston Villa,38,7,50,3.0
Bournemouth,243,1.16,1.88,6899,8,7,8,110,19,0,Bournemouth,31,7,68,3.0
Brentford,278,1.26,2.3,6909,13,12,3,143,12,0,Brentford,33,7,31,3.0
Brighton,310,1.04,2.19,6903,13,11,21,110,15,0,Brighton,44,7,63,3.0
Chelsea,346,1.21,3.01,6905,16,15,19,88,27,0,Chelsea,45,7,24,3.0
Crystal Palace,216,1.01,1.83,6910,4,5,11,110,15,0,Crystal Palace,37,7,24,3.0
Everton,232,1.18,2.34,6887,7,6,12,165,12,1,Everton,29,7,66,3.0
Fulham,298,1.5,2.22,6901,10,10,19,88,21,0,Fulham,29,7,20,3.0
Ipswich,212,0.95,1.81,6903,6,4,8,154,20,0,Ipswich,33,7,23,3.0
Leicester,255,1.13,2.12,6914,9,8,11,132,19,0,Leicester,33,7,39,3.0
Liverpool,435,2.12,3.38,6905,13,13,54,22,14,0,Liverpool,31,7,43,3.0
Man City,329,1.76,3.11,6911,17,13,10,88,17,0,Man City,27,7,45,3.0
Man Utd,301,1.45,2.52,6855,5,5,42,88,24,1,Man Utd,31,7,45,3.0
Newcastle,293,1.26,2.24,6845,8,7,21,77,17,1,Newcastle,34,7,26,3.0
Nott'm Forest,277,1.23,2.11,6887,7,6,23,66,19,2,Nott'm Forest,34,7,62,3.0
Southampton,175,0.7,1.31,6894,4,3,2,165,21,1,Southampton,37,7,38,3.0
Spurs,330,1.3,2.62,6905,13,13,21,88,18,0,Spurs,37,7,55,3.0
West Ham,264,1.4,2.49,6902,9,9,11,121,16,0,West Ham,29,7,14,3.0
Wolves,196,0.76,1.61,6903,9,7,3,231,22,0,Wolves,39,7,26,3.0
