team,wins,losses,total_comparisons,win_rate
Liverpool,123,48,171,0.7192982456140351
Man City,114,56,170,0.6705882352941176
Chelsea,109,60,169,0.6449704142011834
Brighton,110,61,171,0.6432748538011696
Arsenal,108,62,170,0.6352941176470588
Aston Villa,107,63,170,0.6294117647058823
Nott'm Forest,93,77,170,0.5470588235294118
Brentford,91,79,170,0.5352941176470588
Fulham,87,83,170,0.5117647058823529
Spurs,87,84,171,0.5087719298245614
Newcastle,84,86,170,0.49411764705882355
Everton,82,88,170,0.4823529411764706
Man Utd,80,91,171,0.4678362573099415
Bournemouth,79,90,169,0.46745562130177515
Leicester,73,97,170,0.4294117647058823
West Ham,67,103,170,0.3941176470588235
Crystal Palace,62,107,169,0.3668639053254438
Ipswich,58,112,170,0.3411764705882353
Wolves,49,121,170,0.28823529411764703
Southampton,38,133,171,0.2222222222222222
