Player,Selection_Pct,Price
Axel Tuanzebe (Burnley),17.0,4.0
Adrian Mazilu (Brighton),17.0,4.5
El Hadji Malick Diouf (West Ham),17.0,4.5
Ashley Phillips (Spurs),16.5,4.0
Jurriën Timber (Arsenal),15.5,5.5
Ayden Heaven (Man Utd),15.5,4.0
Erling Haaland (Man City),15.5,14.0
Alex Iwobi (Fulham),15.0,6.5
Antoine Semenyo (Bournemouth),15.0,7.0
Ashley Barnes (Burnley),14.000000000000002,4.5
